,Name,Age,Photo,Nationality,Flag,,Potential,Club,Club Logo,Value(£),,,,,,,,,,,
9921,J. Lemmerer,19,https://cdn.sofifa.net/players/263/381/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,73,TSV Egger Glas Hartberg,https://cdn.sofifa.net/teams/2017/30.png,550000,,,,,,,,,,,
9922,22 T. Schirò,21,https://cdn.sofifa.net/players/265/196/22_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,66,Crotone,https://cdn.sofifa.net/teams/110734/30.png,325000,,,,,,,,,,,
9923,Álvaro Roncal,21,https://cdn.sofifa.net/players/268/625/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,70,SD Eibar,https://cdn.sofifa.net/teams/467/30.png,850000,,,,,,,,,,,
9924,21 G. Büch,24,https://cdn.sofifa.net/players/253/494/21_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,63,FC Ingolstadt 04,https://cdn.sofifa.net/teams/111239/30.png,275000,,,,,,,,,,,
9925,J. Kisiel,19,https://cdn.sofifa.net/players/260/979/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,71,Legia Warszawa,https://cdn.sofifa.net/teams/1871/30.png,450000,,,,,,,,,,,
9926,22 Alvyn Sanches,18,https://cdn.sofifa.net/players/260/272/22_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,73,FC Lausanne-Sport,https://cdn.sofifa.net/teams/1862/30.png,425000,,,,,,,,,,,
9927,21 A. Hajdari,20,https://cdn.sofifa.net/players/254/560/21_60.png,North Macedonia,https://cdn.sofifa.net/flags/mk.png,,71,SK Rapid Wien,https://cdn.sofifa.net/teams/254/30.png,525000,,,,,,,,,,,
9928,22 O. Yaisien,21,https://cdn.sofifa.net/players/253/179/22_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,,68,Al Ain FC,https://cdn.sofifa.net/teams/111701/30.png,550000,,,,,,,,,,,
9929,22 Estanis Pedrola,17,https://cdn.sofifa.net/players/266/158/22_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,79,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,1000000,,,,,,,,,,,
9930,22 D. Massaro,23,https://cdn.sofifa.net/players/257/764/22_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,68,FC Academica Clinceni,https://cdn.sofifa.net/teams/113391/30.png,675000,,,,,,,,,,,
9931,21 M. Sakava,19,https://cdn.sofifa.net/players/259/407/21_60.png,Cameroon,https://cdn.sofifa.net/flags/cm.png,,76,Stade de Reims,https://cdn.sofifa.net/teams/379/30.png,775000,,,,,,,,,,,
9932,O. Stanisic,28,https://cdn.sofifa.net/players/262/021/23_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,65,Varbergs BoIS FC,https://cdn.sofifa.net/teams/113743/30.png,625000,,,,,,,,,,,
9933,22 G. Ríos,22,https://cdn.sofifa.net/players/266/161/22_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,71,Club Atlético Central Córdoba,https://cdn.sofifa.net/teams/112965/30.png,900000,,,,,,,,,,,
9934,S. Ogie,20,https://cdn.sofifa.net/players/250/811/23_60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png,,69,Leyton Orient,https://cdn.sofifa.net/teams/1958/30.png,675000,,,,,,,,,,,
9935,22 O. Strunz,21,https://cdn.sofifa.net/players/263/046/22_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,71,SK Rapid Wien,https://cdn.sofifa.net/teams/254/30.png,750000,,,,,,,,,,,
9936,21 Lucas Silva,23,https://cdn.sofifa.net/players/254/007/21_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,68,CD Mirandés,https://cdn.sofifa.net/teams/110069/30.png,625000,,,,,,,,,,,
9937,21 D. Zajmović,25,https://cdn.sofifa.net/players/258/567/21_60.png,Bosnia and Herzegovina,https://cdn.sofifa.net/flags/ba.png,,61,CSM Politehnica Iași,https://cdn.sofifa.net/teams/110815/30.png,300000,,,,,,,,,,,
9938,L. Hakim,20,https://cdn.sofifa.net/players/257/888/23_60.png,Malaysia,https://cdn.sofifa.net/flags/my.png,,71,KV Kortrijk,https://cdn.sofifa.net/teams/100081/30.png,400000,,,,,,,,,,,
9939,Tobias Figueiredo,28,https://cdn.sofifa.net/players/212/231/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,70,Hull City,https://cdn.sofifa.net/teams/1952/30.png,1300000,,,,,,,,,,,
9940,S. Wawrzynowicz,23,https://cdn.sofifa.net/players/271/097/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,65,Pogoń Szczecin,https://cdn.sofifa.net/teams/110746/30.png,325000,,,,,,,,,,,
9941,Gelardo,20,https://cdn.sofifa.net/players/269/642/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,74,Villarreal Club de Fútbol B,https://cdn.sofifa.net/teams/110902/30.png,800000,,,,,,,,,,,
9942,O. Syrota,22,https://cdn.sofifa.net/players/257/170/23_60.png,Ukraine,https://cdn.sofifa.net/flags/ua.png,,79,Dynamo Kyiv,https://cdn.sofifa.net/teams/101047/30.png,3900000,,,,,,,,,,,
9943,22 A. Arli,18,https://cdn.sofifa.net/players/258/405/22_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,71,Dijon FCO,https://cdn.sofifa.net/teams/110569/30.png,700000,,,,,,,,,,,
9944,D. Davas,24,https://cdn.sofifa.net/players/269/798/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,65,GZT Giresunspor,https://cdn.sofifa.net/teams/112120/30.png,375000,,,,,,,,,,,
9945,21 I. Diallo,20,https://cdn.sofifa.net/players/259/092/21_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,65,Burnley,https://cdn.sofifa.net/teams/1796/30.png,275000,,,,,,,,,,,
9946,21 S. Stasik,21,https://cdn.sofifa.net/players/257/675/21_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,65,PGE FKS Stal Mielec,https://cdn.sofifa.net/teams/114004/30.png,525000,,,,,,,,,,,
9947,A. Rai,23,https://cdn.sofifa.net/players/253/704/23_60.png,India,https://cdn.sofifa.net/flags/in.png,,65,ATK Mohun Bagan FC,https://cdn.sofifa.net/teams/113146/30.png,325000,,,,,,,,,,,
9948,L. Mendy,20,https://cdn.sofifa.net/players/263/045/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,,69,Sarpsborg 08 FF,https://cdn.sofifa.net/teams/112199/30.png,300000,,,,,,,,,,,
9949,20 L. Skovajsa,25,https://cdn.sofifa.net/players/255/083/20_60.png,Slovakia,https://cdn.sofifa.net/flags/sk.png,,63,FC Dinamo 1948 Bucureşti,https://cdn.sofifa.net/teams/100757/30.png,230000,,,,,,,,,,,
9950,D. Ouédraogo,23,https://cdn.sofifa.net/players/256/518/23_60.png,Burkina Faso,https://cdn.sofifa.net/flags/bf.png,,71,Oud-Heverlee Leuven,https://cdn.sofifa.net/teams/100087/30.png,1100000,,,,,,,,,,,
9951,22 T. Lake,20,https://cdn.sofifa.net/players/264/249/22_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,71,Fortuna Sittard,https://cdn.sofifa.net/teams/634/30.png,725000,,,,,,,,,,,
9952,E. Gültekin,21,https://cdn.sofifa.net/players/271/281/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,69,İstanbulspor,https://cdn.sofifa.net/teams/746/30.png,725000,,,,,,,,,,,
9953,B. Singh,22,https://cdn.sofifa.net/players/259/648/23_60.png,India,https://cdn.sofifa.net/flags/in.png,,65,Jamshedpur FC,https://cdn.sofifa.net/teams/114168/30.png,275000,,,,,,,,,,,
9954,Kim Min Jun,22,https://cdn.sofifa.net/players/255/160/23_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,,73,Ulsan Hyundai FC,https://cdn.sofifa.net/teams/1473/30.png,800000,,,,,,,,,,,
9955,J. Marsiglia,23,https://cdn.sofifa.net/players/245/743/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,,70,Deportivo Cali,https://cdn.sofifa.net/teams/101102/30.png,675000,,,,,,,,,,,
9956,D. Tangri,23,https://cdn.sofifa.net/players/253/476/23_60.png,India,https://cdn.sofifa.net/flags/in.png,,64,ATK Mohun Bagan FC,https://cdn.sofifa.net/teams/113146/30.png,300000,,,,,,,,,,,
9957,R. Edwards,19,https://cdn.sofifa.net/players/258/167/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,79,Peterborough United,https://cdn.sofifa.net/teams/1938/30.png,1900000,,,,,,,,,,,
9958,20 Franco,21,https://cdn.sofifa.net/players/253/431/20_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,74,Cádiz CF,https://cdn.sofifa.net/teams/1968/30.png,575000,,,,,,,,,,,
9959,21 E. Tubluk,20,https://cdn.sofifa.net/players/257/983/21_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,71,Viktoria Köln,https://cdn.sofifa.net/teams/110645/30.png,550000,,,,,,,,,,,
9960,M. Cevallos,21,https://cdn.sofifa.net/players/258/495/23_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,72,UD Ibiza,https://cdn.sofifa.net/teams/113981/30.png,750000,,,,,,,,,,,
9961,Kim Jin Hyun,22,https://cdn.sofifa.net/players/255/870/23_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,,64,Pohang Steelers,https://cdn.sofifa.net/teams/1474/30.png,275000,,,,,,,,,,,
9962,M. Andersen,24,https://cdn.sofifa.net/players/228/419/23_60.png,Denmark,https://cdn.sofifa.net/flags/dk.png,,72,Barnsley,https://cdn.sofifa.net/teams/1932/30.png,1700000,,,,,,,,,,,
9963,D. Villalba,31,https://cdn.sofifa.net/players/254/174/23_60.png,Paraguay,https://cdn.sofifa.net/flags/py.png,,66,Mushuc Runa,https://cdn.sofifa.net/teams/114615/30.png,575000,,,,,,,,,,,
9964,22 J. Robbins,19,https://cdn.sofifa.net/players/256/866/22_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,70,Crewe Alexandra,https://cdn.sofifa.net/teams/121/30.png,275000,,,,,,,,,,,
9965,22 K. Alaníz,18,https://cdn.sofifa.net/players/253/309/22_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,72,Centro Atlético Fénix,https://cdn.sofifa.net/teams/111002/30.png,700000,,,,,,,,,,,
9966,22 A. Taiwo,22,https://cdn.sofifa.net/players/264/481/22_60.png,Nigeria,https://cdn.sofifa.net/flags/ng.png,,69,SønderjyskE,https://cdn.sofifa.net/teams/1447/30.png,750000,,,,,,,,,,,
9967,21 Veintimilla,20,https://cdn.sofifa.net/players/257/562/21_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,73,C.D. Castellón,https://cdn.sofifa.net/teams/100852/30.png,750000,,,,,,,,,,,
9968,J. Herrera,19,https://cdn.sofifa.net/players/270/649/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,71,Argentinos Juniors,https://cdn.sofifa.net/teams/111019/30.png,850000,,,,,,,,,,,
9969,N. Jahn,17,https://cdn.sofifa.net/players/270/583/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,72,1. FC Nürnberg,https://cdn.sofifa.net/teams/171/30.png,325000,,,,,,,,,,,
9970,A. Okoflex,20,https://cdn.sofifa.net/players/253/729/23_60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png,,76,West Ham United,https://cdn.sofifa.net/teams/19/30.png,650000,,,,,,,,,,,
9971,21 S. Jankovic,22,https://cdn.sofifa.net/players/260/530/21_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,63,Central Coast Mariners,https://cdn.sofifa.net/teams/111396/30.png,300000,,,,,,,,,,,
9972,20 A. Amaya,18,https://cdn.sofifa.net/players/238/182/20_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,,82,Atlético Huila,https://cdn.sofifa.net/teams/112528/30.png,625000,,,,,,,,,,,
9973,L. Cingolani,21,https://cdn.sofifa.net/players/261/349/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,73,Newell's Old Boys,https://cdn.sofifa.net/teams/110396/30.png,800000,,,,,,,,,,,
9974,R. Spaulding,23,https://cdn.sofifa.net/players/267/923/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,,69,New England Revolution,https://cdn.sofifa.net/teams/691/30.png,525000,,,,,,,,,,,
9975,22 M. Pintos,21,https://cdn.sofifa.net/players/256/139/22_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,72,Liverpool Fútbol Club,https://cdn.sofifa.net/teams/111326/30.png,1000000,,,,,,,,,,,
9976,M. Gragger,20,https://cdn.sofifa.net/players/261/775/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,69,SV Ried,https://cdn.sofifa.net/teams/780/30.png,425000,,,,,,,,,,,
9977,Sergio Santos,21,https://cdn.sofifa.net/players/259/529/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,74,CD Mirandés,https://cdn.sofifa.net/teams/110069/30.png,1000000,,,,,,,,,,,
9978,22 J. Escate,19,https://cdn.sofifa.net/players/256/179/22_60.png,Peru,https://cdn.sofifa.net/flags/pe.png,,72,Carlos A. Mannucci,https://cdn.sofifa.net/teams/114619/30.png,475000,,,,,,,,,,,
9979,22 M. Tahiri,20,https://cdn.sofifa.net/players/264/688/22_60.png,Morocco,https://cdn.sofifa.net/flags/ma.png,,71,Sparta Rotterdam,https://cdn.sofifa.net/teams/100646/30.png,550000,,,,,,,,,,,
9980,22 D. Atmaca,18,https://cdn.sofifa.net/players/262/888/22_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,74,FC Würzburger Kickers,https://cdn.sofifa.net/teams/110197/30.png,575000,,,,,,,,,,,
9981,D. Higgins,20,https://cdn.sofifa.net/players/267/892/23_60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png,,61,UCD AFC,https://cdn.sofifa.net/teams/111132/30.png,210000,,,,,,,,,,,
9982,21 C. Engelhart,20,https://cdn.sofifa.net/players/257/178/21_60.png,Mexico,https://cdn.sofifa.net/flags/mx.png,,69,Deportivo Toluca,https://cdn.sofifa.net/teams/1882/30.png,400000,,,,,,,,,,,
9983,J. Canale,25,https://cdn.sofifa.net/players/253/238/23_60.png,Paraguay,https://cdn.sofifa.net/flags/py.png,,72,Godoy Cruz,https://cdn.sofifa.net/teams/111706/30.png,1500000,,,,,,,,,,,
9984,I. Soumaré,21,https://cdn.sofifa.net/players/253/121/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,,73,US Quevilly Rouen Métropole,https://cdn.sofifa.net/teams/112552/30.png,900000,,,,,,,,,,,
9985,D. Aguirre,22,https://cdn.sofifa.net/players/263/240/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,,64,LA Galaxy,https://cdn.sofifa.net/teams/697/30.png,325000,,,,,,,,,,,
9986,21 N. Popescu,26,https://cdn.sofifa.net/players/257/736/21_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,61,Campionii FC Arges,https://cdn.sofifa.net/teams/100759/30.png,300000,,,,,,,,,,,
9987,D. Taylor,24,https://cdn.sofifa.net/players/261/196/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,,67,Minnesota United FC,https://cdn.sofifa.net/teams/111138/30.png,550000,,,,,,,,,,,
9988,22 S. Maronkevic,21,https://cdn.sofifa.net/players/268/378/22_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,68,Türkgücü München,https://cdn.sofifa.net/teams/114398/30.png,675000,,,,,,,,,,,
9989,21 S. Moghanlou,25,https://cdn.sofifa.net/players/259/073/21_60.png,Iran,https://cdn.sofifa.net/flags/ir.png,,67,Santa Clara,https://cdn.sofifa.net/teams/1438/30.png,775000,,,,,,,,,,,
9990,A. Al Hurabi,25,https://cdn.sofifa.net/players/262/554/23_60.png,Saudi Arabia,https://cdn.sofifa.net/flags/sa.png,,64,Al Tai,https://cdn.sofifa.net/teams/112572/30.png,300000,,,,,,,,,,,
9991,21 J. Rodríguez,24,https://cdn.sofifa.net/players/254/629/21_60.png,Venezuela,https://cdn.sofifa.net/flags/ve.png,,63,Llaneros de Guanare Escuela de Fútbol,https://cdn.sofifa.net/teams/114623/30.png,425000,,,,,,,,,,,
9992,D. Edvardsson,20,https://cdn.sofifa.net/players/260/000/23_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,68,IFK Värnamo,https://cdn.sofifa.net/teams/112126/30.png,220000,,,,,,,,,,,
9993,M. Foulds,24,https://cdn.sofifa.net/players/227/854/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,65,Bradford City,https://cdn.sofifa.net/teams/1804/30.png,425000,,,,,,,,,,,
9994,22 Santiago Eneme,20,https://cdn.sofifa.net/players/256/728/22_60.png,Equatorial Guinea,https://cdn.sofifa.net/flags/gq.png,,69,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,550000,,,,,,,,,,,
9995,T. Silva,19,https://cdn.sofifa.net/players/267/795/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,73,San Lorenzo de Almagro,https://cdn.sofifa.net/teams/1013/30.png,750000,,,,,,,,,,,
9996,R. Meißner,22,https://cdn.sofifa.net/players/261/047/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,70,Viktoria Köln,https://cdn.sofifa.net/teams/110645/30.png,950000,,,,,,,,,,,
9997,A. Karademir,18,https://cdn.sofifa.net/players/265/775/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,77,İttifak Holding Konyaspor,https://cdn.sofifa.net/teams/101033/30.png,625000,,,,,,,,,,,
9998,Lucas Laso,19,https://cdn.sofifa.net/players/266/085/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,75,Real Oviedo,https://cdn.sofifa.net/teams/110827/30.png,875000,,,,,,,,,,,
9999,22 M. El Haddouti,23,https://cdn.sofifa.net/players/257/715/22_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,66,RKC Waalwijk,https://cdn.sofifa.net/teams/1905/30.png,400000,,,,,,,,,,,
10000,20 V. Panayotov,28,https://cdn.sofifa.net/players/253/092/20_60.png,Bulgaria,https://cdn.sofifa.net/flags/bg.png,,60,Manchester United,https://cdn.sofifa.net/flags/bg.png,0,,,,,,,,,,,
10001,K. Caliskaner,22,https://cdn.sofifa.net/players/257/172/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,73,SSV Jahn Regensburg,https://cdn.sofifa.net/teams/543/30.png,1800000,,,,,,,,,,,
10002,22 T. Dombrowa,21,https://cdn.sofifa.net/players/263/079/22_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,67,SV Meppen,https://cdn.sofifa.net/teams/110597/30.png,600000,,,,,,,,,,,
10003,22 Lee Dong Ryul,21,https://cdn.sofifa.net/players/252/813/22_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,,73,Jeju United FC,https://cdn.sofifa.net/teams/1478/30.png,550000,,,,,,,,,,,
10004,Carlos Sánchez,21,https://cdn.sofifa.net/players/270/836/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,70,FC Cartagena,https://cdn.sofifa.net/teams/100851/30.png,850000,,,,,,,,,,,
10005,22 Kaique,24,https://cdn.sofifa.net/players/259/411/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,65,Centro Atlético Fénix,https://cdn.sofifa.net/teams/111002/30.png,550000,,,,,,,,,,,
10006,22 A. Fofana,20,https://cdn.sofifa.net/players/261/450/22_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,62,Vejle Boldklub,https://cdn.sofifa.net/teams/822/30.png,240000,,,,,,,,,,,
10007,22 E. Bergström,28,https://cdn.sofifa.net/players/202/060/22_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,67,Willem II,https://cdn.sofifa.net/teams/1907/30.png,800000,,,,,,,,,,,
10008,22 J. Huerto,22,https://cdn.sofifa.net/players/259/831/22_60.png,Peru,https://cdn.sofifa.net/flags/pe.png,,70,Sport Boys,https://cdn.sofifa.net/teams/111016/30.png,925000,,,,,,,,,,,
10009,J. Caicedo,27,https://cdn.sofifa.net/players/254/932/23_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,64,CS Emelec,https://cdn.sofifa.net/teams/110984/30.png,625000,,,,,,,,,,,
10010,V. Morar,28,https://cdn.sofifa.net/players/255/138/23_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,61,FC Farul Constanța,https://cdn.sofifa.net/teams/110075/30.png,325000,,,,,,,,,,,
10011,P. Wood,19,https://cdn.sofifa.net/players/259/629/23_60.png,Australia,https://cdn.sofifa.net/flags/au.png,,73,Sydney FC,https://cdn.sofifa.net/teams/111400/30.png,600000,,,,,,,,,,,
10012,Farru,21,https://cdn.sofifa.net/players/266/724/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,74,FC Cartagena,https://cdn.sofifa.net/teams/100851/30.png,1000000,,,,,,,,,,,
10013,22 L. Chambers-Parillon,19,https://cdn.sofifa.net/players/261/536/22_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,64,Oxford United,https://cdn.sofifa.net/teams/1951/30.png,230000,,,,,,,,,,,
10014,09 O. Dacourt,33,https://cdn.sofifa.net/players/001/777/09_60.png,France,https://cdn.sofifa.net/flags/fr.png,,81,Fulham,https://cdn.sofifa.net/teams/144/30.png,0,,,,,,,,,,,
10015,21 R. Kobiljar,24,https://cdn.sofifa.net/players/255/296/21_60.png,Bosnia and Herzegovina,https://cdn.sofifa.net/flags/ba.png,,63,KFC Uerdingen 05,https://cdn.sofifa.net/teams/167/30.png,325000,,,,,,,,,,,
10016,22 M. Stolt,20,https://cdn.sofifa.net/players/257/748/22_60.png,Sweden,https://cdn.sofifa.net/flags/se.png,,64,Östersunds FK,https://cdn.sofifa.net/teams/113173/30.png,325000,,,,,,,,,,,
10017,22 B. Radiopane,18,https://cdn.sofifa.net/players/263/843/22_60.png,South Africa,https://cdn.sofifa.net/flags/za.png,,77,Orlando Pirates,https://cdn.sofifa.net/teams/110930/30.png,575000,,,,,,,,,,,
10018,22 M. Król,21,https://cdn.sofifa.net/players/263/303/22_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,64,Górnik Łęczna,https://cdn.sofifa.net/teams/110565/30.png,300000,,,,,,,,,,,
10019,K. Scales,20,https://cdn.sofifa.net/players/258/462/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,69,Bradford City,https://cdn.sofifa.net/teams/1804/30.png,450000,,,,,,,,,,,
10020,21 Raúl Martín,20,https://cdn.sofifa.net/players/258/162/21_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,71,CE Sabadell FC,https://cdn.sofifa.net/teams/15021/30.png,525000,,,,,,,,,,,
10021,22 T. Cantoro,20,https://cdn.sofifa.net/players/255/065/22_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,71,Club Universitario de Deportes,https://cdn.sofifa.net/teams/111014/30.png,875000,,,,,,,,,,,
10022,21 P. Karaklajić,20,https://cdn.sofifa.net/players/257/402/21_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,71,AEK Athens,https://cdn.sofifa.net/teams/278/30.png,550000,,,,,,,,,,,
10023,Javi Moreno,22,https://cdn.sofifa.net/players/266/117/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,71,Real Oviedo,https://cdn.sofifa.net/teams/110827/30.png,700000,,,,,,,,,,,
10024,D. Iordache,17,https://cdn.sofifa.net/players/271/188/23_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,72,Rapid București,https://cdn.sofifa.net/teams/310/30.png,210000,,,,,,,,,,,
10025,22 David Amigo,18,https://cdn.sofifa.net/players/266/834/22_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,76,CF Fuenlabrada,https://cdn.sofifa.net/teams/110065/30.png,625000,,,,,,,,,,,
10026,22 N. Bretschneider,21,https://cdn.sofifa.net/players/257/532/22_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,68,MSV Duisburg,https://cdn.sofifa.net/teams/1825/30.png,625000,,,,,,,,,,,
10027,22 J. Santacruz,24,https://cdn.sofifa.net/players/259/823/22_60.png,Ecuador,https://cdn.sofifa.net/flags/ec.png,,67,Mushuc Runa,https://cdn.sofifa.net/teams/114615/30.png,700000,,,,,,,,,,,
10028,M. Kucheriavyi,20,https://cdn.sofifa.net/players/262/945/23_60.png,Ukraine,https://cdn.sofifa.net/flags/ua.png,,73,St. Johnstone FC,https://cdn.sofifa.net/teams/100804/30.png,375000,,,,,,,,,,,
10029,21 F. D'Amico,19,https://cdn.sofifa.net/players/257/180/21_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,78,Chievo Verona,https://cdn.sofifa.net/teams/192/30.png,850000,,,,,,,,,,,
10030,Juanlu Sánchez,18,https://cdn.sofifa.net/players/264/174/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,74,CD Mirandés,https://cdn.sofifa.net/teams/110069/30.png,750000,,,,,,,,,,,
10031,21 Marco Túlio,22,https://cdn.sofifa.net/players/261/267/21_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,67,Podbeskidzie Bielsko-Biała,https://cdn.sofifa.net/teams/111087/30.png,425000,,,,,,,,,,,
10032,L. Cass,22,https://cdn.sofifa.net/players/243/827/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,75,Port Vale,https://cdn.sofifa.net/teams/1928/30.png,925000,,,,,,,,,,,
10033,L. Offord,22,https://cdn.sofifa.net/players/241/828/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,70,Crewe Alexandra,https://cdn.sofifa.net/teams/121/30.png,900000,,,,,,,,,,,
10034,20 B. Rapaić,21,https://cdn.sofifa.net/players/252/921/20_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,,72,Unión Deportiva Las Palmas,https://cdn.sofifa.net/teams/472/30.png,575000,,,,,,,,,,,
10035,A. Romeo,19,https://cdn.sofifa.net/players/265/738/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,75,BK Häcken,https://cdn.sofifa.net/teams/711/30.png,525000,,,,,,,,,,,
10036,L. Hey,19,https://cdn.sofifa.net/players/269/397/23_60.png,Denmark,https://cdn.sofifa.net/flags/dk.png,,72,Lyngby BK,https://cdn.sofifa.net/teams/15001/30.png,275000,,,,,,,,,,,
10037,22 A. Herrera,20,https://cdn.sofifa.net/players/264/717/22_60.png,Mexico,https://cdn.sofifa.net/flags/mx.png,,65,Puebla FC,https://cdn.sofifa.net/teams/110152/30.png,300000,,,,,,,,,,,
10038,20 S. Kovachev,21,https://cdn.sofifa.net/players/256/374/20_60.png,Bulgaria,https://cdn.sofifa.net/flags/bg.png,,72,Manchester United,https://cdn.sofifa.net/flags/bg.png,0,,,,,,,,,,,
10039,A. Murphy,17,https://cdn.sofifa.net/players/264/511/23_60.png,Republic of Ireland,https://cdn.sofifa.net/flags/ie.png,,67,St. Patrick's Athletic,https://cdn.sofifa.net/teams/423/30.png,120000,,,,,,,,,,,
10040,21 Á. Benítez,24,https://cdn.sofifa.net/players/255/949/21_60.png,Paraguay,https://cdn.sofifa.net/flags/py.png,,70,Club Guaraní,https://cdn.sofifa.net/teams/111329/30.png,1000000,,,,,,,,,,,
10041,T. Odusina,22,https://cdn.sofifa.net/players/233/687/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,70,Bradford City,https://cdn.sofifa.net/teams/1804/30.png,900000,,,,,,,,,,,
10042,K. Bowie,19,https://cdn.sofifa.net/players/257/104/23_60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,,76,Northampton Town,https://cdn.sofifa.net/teams/1930/30.png,575000,,,,,,,,,,,
